,location,total_sqft,bath,price,bhk,encoded_loc
168,Dasarahalli,1295.0,2,65.0,2,64
169,Electronic City,589.0,1,27.0,1,74
170,others,1415.0,3,78.0,3,230
171,Sarjapur  Road,1787.0,3,98.29,3,194
172,Sarjapur  Road,1787.0,3,125.0,3,194
173,Koramangala,1475.0,2,90.0,3,144
174,others,2000.0,4,75.5,4,230
175,Sarjapur  Road,984.0,2,44.28,2,194
176,Devanahalli,2390.0,2,74.82,3,65
177,7th Phase JP Nagar,1080.0,2,72.0,2,6
178,others,1500.0,2,115.0,2,230
179,Hebbal,1900.0,3,119.0,3,92
180,Budigere,1153.0,2,56.4,2,52
181,others,1148.0,2,60.0,2,230
182,others,1110.0,2,55.0,2,230
183,Electronic City,1100.0,2,42.0,2,74
184,others,1500.0,2,65.0,3,230
185,others,1080.0,2,39.0,2,230
186,Vijayanagar,1933.0,3,129.0,3,220
187,Ramamurthy Nagar,3500.0,5,150.0,5,188
188,others,1060.0,2,60.0,2,230
189,others,1644.0,3,84.0,3,230
190,others,1285.0,2,72.5,2,230
191,Electronic City,1200.0,3,90.0,3,74
192,Electronic City,910.0,2,40.0,2,74
193,Kothanur,1577.0,3,70.0,3,146
194,others,4050.0,3,280.0,3,230
195,OMBR Layout,2420.0,3,185.0,3,175
196,others,1060.0,2,55.0,2,230
197,7th Phase JP Nagar,1270.0,2,93.0,2,6
198,others,1280.0,2,69.0,2,230
199,Horamavu Agara,1200.0,2,95.0,4,98
200,Sarjapur  Road,1025.0,2,36.0,2,194
201,Electronic City,1108.0,2,63.0,2,74
202,others,3045.0,3,170.0,3,230
203,Vijayanagar,1500.0,3,75.5,3,220
204,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
205,Budigere,1162.0,2,59.9,2,52
206,Sarjapur  Road,1035.0,2,49.2,2,194
207,Attibele,1600.0,4,52.8,4,21
208,others,1464.0,3,46.0,3,230
209,Hennur Road,1866.0,2,61.58,3,96
210,others,700.0,1,26.0,2,230
211,Kalena Agrahara,1804.0,3,120.0,3,121
212,Sarjapur,913.0,2,32.0,2,193
213,Talaghattapura,1868.0,3,131.0,3,208
214,Kengeri Satellite Town,883.0,2,45.0,2,136
215,Kogilu,1664.0,2,73.95,3,142
216,Hegde Nagar,2026.0,3,132.0,3,94
217,Balagere,1210.0,2,80.9,2,25
218,others,4111.0,4,250.0,4,230
219,Kadugodi,1762.0,3,91.45,3,117
220,Jigani,1252.0,3,55.0,3,113
221,Gollarapalya Hosahalli,861.0,2,34.5,2,81
222,7th Phase JP Nagar,1420.0,2,100.0,3,6
223,Electronics City Phase 1,1490.0,3,78.8,3,76
224,Bisuvanahalli,1075.0,2,46.0,3,46
225,Old Madras Road,1425.0,2,94.0,3,177
226,Kalena Agrahara,1200.0,2,40.0,2,121
227,Kaggadasapura,1280.0,2,56.0,3,118
228,others,1084.0,2,50.0,2,230
229,Kanakpura Road,1017.0,2,51.25,2,127
230,Haralur Road,1027.0,2,44.0,2,90
231,Electronic City Phase II,1069.0,2,45.0,2,75
232,Hebbal,1349.0,2,98.2,2,92
233,9th Phase JP Nagar,1005.0,2,50.0,2,8
234,Jakkur,1417.0,2,75.0,2,110
235,TC Palaya,1475.0,3,98.0,3,207
236,others,950.0,2,47.0,2,230
237,others,2000.0,4,120.0,4,230
238,Sarjapur  Road,1863.0,3,104.0,4,194
239,Singasandra,1010.0,2,29.5,2,201
240,Kalena Agrahara,1425.0,2,70.0,3,121
241,Vijayanagar,1450.0,3,100.0,3,220
242,Kothanur,1847.0,3,105.0,3,146
243,AECS Layout,1100.0,2,45.0,2,9
244,Kanakpura Road,525.0,1,26.0,1,127
245,Mallasandra,1665.0,3,95.0,3,158
246,Begur,1664.0,4,65.0,4,38
247,JP Nagar,1850.0,3,150.0,3,109
248,Panathur,1438.0,2,100.0,2,180
249,others,1560.0,3,115.0,3,230
250,Yelahanka,1350.0,2,55.55,2,226
251,Kanakpura Road,1550.0,3,67.0,3,127
252,Malleshpalya,1140.0,2,46.5,2,159
253,others,850.0,2,27.0,2,230
254,Whitefield,1280.0,2,75.0,2,224
255,Munnekollal,1170.0,2,52.0,2,164
256,others,1113.0,2,51.0,2,230
257,Hennur Road,1385.0,2,83.09,2,96
258,Electronic City,1128.0,2,65.0,2,74
259,Haralur Road,1464.0,3,56.0,3,90
260,others,1200.0,2,55.0,2,230
261,Kaval Byrasandra,1200.0,2,52.0,2,133
262,Kaggalipura,1150.0,2,55.0,3,119
263,others,1645.0,3,95.0,3,230
264,Sarjapur  Road,1000.0,2,67.0,2,194
265,Haralur Road,2650.0,4,198.0,4,90
266,6th Phase JP Nagar,1192.0,2,74.0,2,5
267,Whitefield,1173.0,2,58.0,2,224
268,Uttarahalli,1020.0,2,45.0,2,216
269,Somasundara Palya,1600.0,3,64.0,3,202
270,others,1200.0,2,79.0,2,230
271,others,1230.0,2,48.0,2,230
272,Devarachikkanahalli,1250.0,2,40.0,2,66
273,Kalena Agrahara,1325.0,2,76.0,2,121
274,7th Phase JP Nagar,1850.0,3,150.0,3,6
275,Kanakpura Road,525.0,2,21.53,1,127
276,Basaveshwara Nagar,1200.0,2,65.0,2,36
277,Bommasandra,1260.0,3,49.36,3,48
278,Ardendale,1100.0,2,43.25,2,19
279,Harlur,1508.0,2,77.0,2,91
280,others,1592.0,3,75.0,3,230
281,Akshaya Nagar,1388.0,2,57.0,2,11
282,Electronic City Phase II,630.0,1,28.35,1,75
283,others,1762.0,3,125.0,3,230
284,others,950.0,2,50.0,2,230
285,Magadi Road,1116.0,2,50.0,2,155
286,others,1308.0,2,89.04,2,230
287,others,1200.0,3,90.0,3,230
288,Bannerghatta Road,500.0,1,18.5,1,34
289,Hennur,1075.0,2,52.0,2,95
290,Bellandur,1205.0,2,66.0,2,40
291,5th Phase JP Nagar,1075.0,2,60.0,2,4
292,KR Puram,930.0,2,39.0,2,115
293,Balagere,1380.0,2,60.0,2,25
294,Kodigehaali,1166.0,2,55.0,2,139
295,Bannerghatta Road,1050.0,2,65.0,2,34
296,Begur Road,1200.0,2,46.8,2,39
297,Lakshminarayana Pura,1600.0,2,108.0,3,153
298,Billekahalli,1935.0,3,110.0,3,44
299,8th Phase JP Nagar,451.0,1,29.9,1,7
300,Electronic City,1800.0,3,95.0,3,74
301,Jalahalli,1400.0,3,77.0,3,111
302,Hegde Nagar,1801.0,3,115.0,3,94
303,Mahadevpura,1451.0,2,90.0,2,156
304,Anekal,1200.0,1,36.0,2,17
305,Begur Road,1160.0,2,44.0,2,39
306,Kanakpura Road,950.0,2,40.0,2,127
307,others,1629.0,3,79.0,3,230
308,Vijayanagar,1826.0,3,121.0,3,220
309,7th Phase JP Nagar,1245.0,2,94.0,2,6
310,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
311,Sompura,825.0,2,33.0,2,203
312,Yeshwanthpur,1693.0,3,108.0,3,229
313,Electronics City Phase 1,1113.27,2,53.0,2,76
314,others,1460.0,2,58.0,2,230
315,Doddathoguru,1050.0,2,32.0,2,70
316,Dodda Nekkundi,1260.0,2,55.0,2,67
317,Hosur Road,1656.0,2,120.0,2,104
318,Chandapura,1208.0,3,45.0,3,55
319,Whitefield,3252.0,4,230.0,4,224
320,Battarahalli,1200.0,2,65.0,2,37
321,7th Phase JP Nagar,1175.0,2,82.0,2,6
322,others,1185.0,2,38.0,2,230
323,Kengeri,750.0,2,38.0,2,135
324,Kanakpura Road,1550.0,3,64.5,3,127
325,others,1760.0,3,88.0,3,230
326,Billekahalli,1125.0,2,62.0,2,44
327,Anandapura,1000.0,2,55.0,2,15
328,Bommasandra Industrial Area,1090.0,2,31.48,2,49
329,TC Palaya,1200.0,2,60.0,2,207
330,Budigere,1991.0,4,103.0,3,52
331,Ambalipura,1105.0,2,75.0,2,12
332,Hoodi,985.0,2,67.0,2,97
333,Balagere,1590.0,3,79.0,3,25
334,CV Raman Nagar,1120.0,2,55.0,2,53
335,others,1069.0,2,55.0,2,230
336,Marathahalli,1933.0,3,140.0,3,161
337,Hosur Road,1194.0,2,69.0,2,104
338,Brookefield,1150.0,2,69.0,2,51
339,Yelenahalli,1240.0,2,47.12,2,228
340,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
341,others,1450.0,3,55.0,3,230
342,others,1630.0,3,68.29,3,230
343,Dasanapura,708.0,1,40.0,2,63
344,Whitefield,11890.0,4,700.0,4,224
345,Bellandur,1250.0,2,76.0,2,40
346,7th Phase JP Nagar,1400.0,2,95.0,3,6
347,Sarjapur  Road,1670.0,2,57.0,3,194
348,Ardendale,1750.0,3,100.0,3,19
349,Vittasandra,1404.0,2,71.0,2,223
350,Hoodi,1715.0,2,95.0,3,97
351,Electronic City,630.0,1,34.65,1,74
352,Harlur,1752.12,3,135.0,3,91
353,Hulimavu,1650.0,3,78.0,3,105
354,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
355,Sarjapur  Road,1346.0,2,74.03,2,194
356,Hormavu,1150.0,2,55.0,2,100
357,AECS Layout,1620.0,3,98.0,3,9
358,Marathahalli,950.0,2,46.96,2,161
359,Harlur,2450.0,3,120.0,3,91
360,Electronic City Phase II,1220.0,2,35.23,3,75
361,others,850.0,2,30.0,2,230
362,Padmanabhanagar,1020.0,2,63.0,2,178
363,Chikkalasandra,1100.0,2,50.0,2,59
364,Hebbal,1760.0,2,130.0,3,92
365,Ambalipura,1800.0,3,110.0,3,12
366,Akshaya Nagar,1070.0,2,54.0,2,11
367,Vidyaranyapura,1440.0,2,95.0,2,219
368,Amruthahalli,900.0,2,40.0,2,14
369,Whitefield,1130.0,2,42.16,2,224
370,Kodigehalli,1270.0,2,98.0,2,140
371,others,1200.0,2,62.0,2,230
372,others,4800.0,4,235.0,4,230
373,others,1200.0,2,74.0,2,230
374,Subramanyapura,929.0,2,50.17,2,205
375,others,1464.0,3,56.0,3,230
376,others,2000.0,4,99.0,4,230
377,Chikkalasandra,1208.0,2,49.0,2,59
378,Hebbal Kempapura,1130.0,2,60.0,2,93
379,others,1753.0,3,120.0,3,230
380,Hoodi,1196.0,2,94.42,2,97
381,5th Phase JP Nagar,1150.0,3,52.5,2,4
382,Electronic City,1128.0,2,63.0,2,74
383,others,1000.0,2,53.0,2,230
384,Yelahanka,1035.0,2,45.0,2,226
385,Kereguddadahalli,950.0,2,32.0,2,137
386,Bisuvanahalli,1075.0,2,36.0,3,46
387,Whitefield,1040.0,2,48.5,2,224
388,others,720.0,2,45.0,2,230
389,Lingadheeranahalli,1511.0,3,95.0,3,154
390,others,1300.0,3,58.0,3,230
391,Hoodi,1545.0,3,68.75,3,97
392,Shampura,375.0,2,26.0,1,199
393,Vidyaranyapura,1062.0,2,38.0,2,219
394,others,1115.0,2,40.0,2,230
395,JP Nagar,1000.0,2,35.0,2,109
396,Kambipura,883.0,2,45.0,2,123
397,Sarjapur  Road,1195.0,2,70.0,2,194
398,others,700.0,1,41.0,1,230
399,Vittasandra,1246.0,2,67.0,2,223
400,others,1600.0,4,80.0,4,230
401,Haralur Road,2805.0,5,154.0,4,90
402,Begur Road,1584.0,3,65.0,3,39
403,Hosur Road,1175.0,2,48.0,3,104
404,others,1595.0,3,115.0,3,230
405,others,1353.0,2,110.0,2,230
406,Electronic City,1599.0,3,125.0,3,74
407,Whitefield,1150.0,2,70.0,2,224
408,KR Puram,1155.0,2,42.74,2,115
409,others,1200.0,2,85.0,1,230
410,Thanisandra,3000.0,4,120.0,4,209
411,Ramagondanahalli,1251.0,2,47.0,2,187
412,others,1028.0,2,45.5,2,230
413,Arekere,1222.0,2,45.0,2,20
414,Bannerghatta Road,1170.0,2,66.0,3,34
415,others,1385.0,2,48.48,3,230
416,HSR Layout,1372.0,2,68.0,2,89
417,Magadi Road,1282.0,2,49.0,3,155
418,Kanakpura Road,1135.0,2,39.73,2,127
419,Whitefield,1768.0,3,101.0,3,224
420,others,1325.0,2,90.0,3,230
421,Electronic City,1599.0,3,99.0,3,74
422,Whitefield,1500.0,3,61.95,3,224
423,Uttarahalli,1286.0,2,63.0,2,216
424,Kammanahalli,2845.0,5,140.0,5,124
425,others,1600.0,2,50.0,3,230
426,Hennur Road,1915.0,2,63.77,2,96
427,Munnekollal,1102.0,2,53.67,2,164
428,Yelahanka,1350.0,2,54.0,2,226
429,Banashankari,1200.0,2,42.0,3,26
430,others,1800.0,1,80.0,2,230
431,Chikkabanavar,950.0,2,40.0,2,58
432,Kanakpura Road,525.0,1,27.25,1,127
433,Attibele,656.0,2,25.0,2,21
434,others,1056.0,2,80.0,2,230
435,Bannerghatta Road,595.0,1,33.32,1,34
436,others,1080.0,2,50.0,2,230
437,7th Phase JP Nagar,2225.0,3,160.0,3,6
438,Electronics City Phase 1,1490.0,3,84.0,3,76
439,Sarjapur  Road,1550.0,3,100.0,3,194
440,Sarjapur  Road,1600.0,3,86.0,3,194
441,others,1160.0,2,55.0,2,230
442,Whitefield,4144.0,4,315.0,4,224
443,Sarjapur  Road,2100.0,3,125.0,3,194
444,Vittasandra,1404.0,2,69.3,2,223
445,others,1544.0,3,120.0,3,230
446,Banashankari Stage III,1305.0,2,58.7,3,28
447,Marathahalli,1230.0,2,80.0,2,161
448,others,1200.0,2,65.0,2,230
449,Harlur,1460.0,3,73.0,3,91
450,Gottigere,967.0,2,45.0,2,82
451,others,540.0,1,36.0,1,230
452,Hormavu,715.0,1,46.0,1,100
453,Mysore Road,1020.0,2,48.95,2,166
454,Jigani,1020.0,2,40.0,2,113
455,Koramangala,1253.0,2,102.0,2,144
456,others,1180.0,2,42.0,2,230
457,Nehru Nagar,961.0,2,38.0,2,174
458,Kanakapura,1419.0,3,75.0,3,126
459,others,1600.0,2,115.0,2,230
460,others,416.0,1,18.5,1,230
461,HSR Layout,1430.0,2,65.0,3,89
462,others,1260.0,2,45.0,2,230
463,others,1630.0,3,85.0,3,230
464,Sarjapur  Road,1249.0,3,44.71,3,194
465,Kalena Agrahara,1450.0,2,85.0,3,121
466,Konanakunte,2791.0,3,223.0,3,143
467,others,834.0,1,60.0,1,230
468,others,1125.0,4,70.0,3,230
469,Arekere,2060.0,3,140.0,3,20
470,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
471,Bisuvanahalli,1075.0,2,37.0,3,46
472,Vidyaranyapura,1200.0,2,55.0,2,219
473,Thanisandra,1075.0,2,45.8,2,209
474,Kaggadasapura,1140.0,2,40.0,2,118
475,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
476,R.T. Nagar,1500.0,4,70.0,4,182
477,Whitefield,1790.0,3,100.0,3,224
478,Hebbal,1920.0,3,134.0,3,92
479,HRBR Layout,1374.0,2,95.0,2,88
480,Bannerghatta Road,1445.0,3,95.0,3,34
481,Kanakapura,711.0,1,36.0,1,126
482,Tumkur Road,1500.0,3,95.0,3,214
483,Whitefield,1720.0,3,100.0,3,224
484,others,1400.0,3,60.0,3,230
485,Kundalahalli,1030.0,2,49.0,2,150
486,Mysore Road,1200.0,2,85.0,2,166
487,others,1375.0,3,70.0,3,230
488,Hegde Nagar,1050.0,1,56.0,2,94
489,Jalahalli,2250.0,3,160.0,3,111
490,Bellandur,1000.0,2,50.0,2,40
491,others,469.0,1,25.0,1,230
492,Marathahalli,3800.0,4,250.0,4,161
493,Kambipura,883.0,2,29.0,2,123
494,GM Palaya,1820.0,2,86.0,3,78
495,Singasandra,1440.0,2,65.0,3,201
496,Mahadevpura,1225.0,2,48.0,2,156
497,Chikkalasandra,875.0,2,52.8,2,59
498,Jalahalli East,750.0,1,40.0,1,112
499,6th Phase JP Nagar,1180.0,2,80.0,2,5
500,Haralur Road,1194.0,2,47.0,2,90
501,Hennur Road,1500.0,2,62.0,3,96
502,others,1160.0,2,52.2,2,230
503,Sarjapur,1128.0,2,60.0,2,193
504,others,1220.0,2,35.23,3,230
505,Sarjapur  Road,1210.0,2,58.0,2,194
506,Kanakpura Road,1100.0,2,58.0,3,127
507,Bommasandra,1200.0,3,46.0,3,48
508,Haralur Road,3385.0,5,260.0,4,90
509,others,1641.0,3,66.0,3,230
510,Horamavu Agara,1200.0,2,45.0,2,98
511,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
512,Mahadevpura,1720.0,3,78.0,3,156
513,Yelahanka,1210.0,2,45.98,2,226
514,Bisuvanahalli,1075.0,2,45.0,3,46
515,Thanisandra,1702.0,3,130.0,3,209
516,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
517,others,2072.0,3,108.0,3,230
518,JP Nagar,7720.0,2,375.0,5,109
519,others,1200.0,2,70.0,3,230
520,others,1350.0,3,77.0,3,230
521,others,5591.0,4,445.0,4,230
522,others,1180.0,2,78.34,3,230
523,Bannerghatta Road,1640.0,2,120.0,3,34
524,Kodichikkanahalli,1190.0,2,57.0,3,138
525,Marathahalli,1019.0,2,49.85,2,161
526,Akshaya Nagar,1250.0,3,40.0,3,11
527,Whitefield,1140.0,2,56.0,2,224
528,Lingadheeranahalli,1683.0,3,109.0,3,154
529,Kaggadasapura,1515.0,3,83.3,3,118
530,Hoodi,2118.0,4,111.0,4,97
531,Bannerghatta Road,1380.0,3,58.0,4,34
532,Varthur Road,1083.0,2,61.75,2,218
533,others,2300.0,3,120.0,3,230
534,others,1240.0,2,60.0,2,230
535,others,1750.0,3,120.0,3,230
536,others,1230.0,2,43.48,2,230
537,Abbigere,985.0,2,40.39,2,10
538,Tindlu,1500.0,2,87.0,3,213
539,Electronic City,1125.0,2,32.49,2,74
540,others,950.0,2,44.0,2,230
541,JP Nagar,7800.0,2,548.5,5,109
542,Kothanur,1580.0,3,76.0,3,146
543,Hennur Road,2264.0,3,159.0,3,96
544,Kammasandra,810.0,2,24.5,2,125
545,others,1045.0,2,45.0,2,230
546,Hebbal,1337.0,2,82.0,2,92
547,Begur Road,1500.0,2,54.0,3,39
548,Whitefield,1640.0,4,91.0,3,224
549,others,1570.0,3,62.0,3,230
550,Gubbalala,1470.0,2,82.0,3,84
551,Kengeri,1160.0,2,40.61,2,135
552,7th Phase JP Nagar,1050.0,2,71.0,2,6
553,Bannerghatta Road,1460.0,2,90.0,3,34
554,Hulimavu,1823.0,3,100.0,3,105
555,Electronic City,1094.0,2,42.0,2,74
556,Budigere,1153.0,2,57.0,2,52
557,others,1325.0,3,57.0,3,230
558,others,1200.0,3,85.0,4,230
559,Jakkur,1590.0,2,125.0,3,110
560,others,1202.0,2,48.0,2,230
561,Haralur Road,1202.0,2,53.0,2,90
562,others,1200.0,2,62.5,2,230
563,Panathur,1688.0,3,118.0,3,180
564,Kaval Byrasandra,1020.0,2,52.0,2,133
565,Sarjapur,1185.0,2,47.0,2,193
566,Ramagondanahalli,1235.0,2,52.04,2,187
567,Banashankari,1077.0,2,37.64,2,26
568,Kengeri Satellite Town,1415.0,2,66.0,3,136
569,EPIP Zone,2330.0,3,162.0,3,73
570,Whitefield,805.0,2,35.0,2,224
571,others,425.0,1,20.03,1,230
572,Whitefield,1155.0,2,59.95,2,224
573,Anekal,656.0,2,22.0,2,17
574,others,1100.0,2,48.0,2,230
575,Mahadevpura,1150.0,2,52.0,2,156
576,Whitefield,2280.0,4,126.0,3,224
577,Hegde Nagar,1341.0,2,97.0,2,94
578,Jakkur,1279.0,2,77.0,2,110
579,Electronic City Phase II,2225.0,4,98.88,4,75
580,Thanisandra,1185.0,2,43.51,2,209
581,others,1750.0,3,85.0,3,230
582,Kudlu,1152.0,2,53.5,2,147
583,Varthur Road,2760.0,4,155.0,4,218
584,5th Phase JP Nagar,1070.0,2,39.0,2,4
585,Uttarahalli,1101.0,2,45.0,2,216
586,others,775.0,2,55.0,2,230
587,Yeshwanthpur,667.0,1,36.85,1,229
588,Electronic City,1070.0,2,55.0,2,74
589,Old Airport Road,1875.0,2,110.0,3,176
590,Kundalahalli,735.0,2,57.99,2,150
591,Koramangala,1750.0,3,130.0,3,144
592,Marathahalli,1215.0,2,67.0,2,161
